number,kind,state,title,url,created_at,updated_at,closed_at,user,labels,comments,matched_queries
10289,issue,closed,test flake: Agent tests leak `github.com/robfig/cron/v3.(*Cron).run`,https://github.com/coder/coder/issues/10289,2023-10-16T13:25:59Z,2023-10-23T17:08:53Z,2023-10-23T17:08:53Z,mafredri,,1,issues-flake-title
10335,issue,closed,flake: TestWorkspaceBuild,https://github.com/coder/coder/issues/10335,2023-10-18T22:29:53Z,2023-10-23T16:45:57Z,2023-10-23T16:45:56Z,sreya,s4,0,issues-flake-title
10359,issue,closed,flake: TestExecutorAutostopTemplateDisabled,https://github.com/coder/coder/issues/10359,2023-10-19T23:08:23Z,2023-12-08T09:02:58Z,2023-12-08T09:02:56Z,sreya,s4,2,issues-flake-title
10396,issue,closed,flake: TestWorkspaceDormant/OK reports too many audit logs,https://github.com/coder/coder/issues/10396,2023-10-24T19:56:52Z,2023-11-06T09:17:11Z,2023-11-06T09:17:09Z,johnstcn,s4,0,issues-flake-title
10408,issue,closed,test flake: cliui/TestAgent missing lines,https://github.com/coder/coder/issues/10408,2023-10-27T12:09:14Z,2023-10-30T11:20:12Z,2023-10-30T11:20:12Z,johnstcn,,1,issues-flake-title
10443,issue,closed,test flake: TestServer/TracerNoLeak,https://github.com/coder/coder/issues/10443,2023-10-31T12:39:48Z,2023-11-02T04:37:13Z,2023-11-02T04:37:13Z,spikecurtis,,1,issues-flake-title
10481,issue,closed,flake: SSHKeyPage.test.tsx has too many element matches,https://github.com/coder/coder/issues/10481,2023-11-01T22:03:37Z,2023-11-07T13:31:10Z,2023-11-07T13:31:08Z,buenos-nachos,site;s4,1,issues-flake-title
10578,issue,closed,flake: TestSSH/RemoteForward: match deadline exceeded,https://github.com/coder/coder/issues/10578,2023-11-08T11:54:04Z,2023-11-20T16:50:13Z,2023-11-20T16:50:11Z,johnstcn,s4;networking,1,issues-flake-title
10600,issue,closed,flake: Test_parseInsightsStartAndEndTime,https://github.com/coder/coder/issues/10600,2023-11-09T01:36:52Z,2024-03-01T00:20:26Z,2024-03-01T00:20:26Z,sreya,s4,2,issues-flake-title
10663,issue,closed,flake: vscodessh logging,https://github.com/coder/coder/issues/10663,2023-11-14T06:55:12Z,2023-11-14T12:38:36Z,2023-11-14T12:38:35Z,spikecurtis,,0,issues-flake-title
10747,issue,closed,e2e flake: start workspace with ephemeral parameters,https://github.com/coder/coder/issues/10747,2023-11-17T07:05:07Z,2023-11-17T12:13:48Z,2023-11-17T12:13:47Z,spikecurtis,,0,issues-flake-title
10778,issue,closed,flake: TestCollectInsights,https://github.com/coder/coder/issues/10778,2023-11-18T16:44:18Z,2023-11-20T17:37:47Z,2023-11-20T17:37:47Z,datadog-coder-official[bot],,1,issues-flake-title
10791,issue,closed,test flake: scaletest: Test_Runner/NoCleanup: peer is connected directly,https://github.com/coder/coder/issues/10791,2023-11-20T14:31:11Z,2024-02-20T05:51:26Z,2024-02-20T05:51:26Z,johnstcn,,1,issues-flake-title
10799,issue,closed,flake: TestAgent_TCPRemoteForwarding,https://github.com/coder/coder/issues/10799,2023-11-20T16:37:54Z,2023-11-27T05:42:48Z,2023-11-27T05:42:46Z,spikecurtis,s4,1,issues-flake-title
10824,issue,closed,flake: TestDERP/HealthyWithNodeDegraded,https://github.com/coder/coder/issues/10824,2023-11-21T18:12:19Z,2023-11-22T10:15:13Z,2023-11-22T10:15:13Z,spikecurtis,,0,issues-flake-title
10829,issue,closed,flake: Test_Runner/OK,https://github.com/coder/coder/issues/10829,2023-11-22T00:03:36Z,2024-04-26T14:50:43Z,2024-04-26T14:50:43Z,sreya,,2,issues-flake-title
10832,issue,closed,flake: TestWorkspaceAgentListeningPorts/LinuxAndWindows/OK,https://github.com/coder/coder/issues/10832,2023-11-22T05:39:33Z,2023-11-22T09:30:53Z,2023-11-22T09:30:53Z,spikecurtis,,0,issues-flake-title
10947,issue,closed,flake: enterprise/coderd TestWorkspaceAutobuild/DormantNoAutostart,https://github.com/coder/coder/issues/10947,2023-11-30T06:05:00Z,2023-11-30T21:45:28Z,2023-11-30T21:45:28Z,spikecurtis,,0,issues-flake-title
