number,state,title,url,created_at,updated_at,closed_at,merged_at,user,labels,seed_title_match,discovered_from_issue_timeline,referenced_seed_issues_in_body,base_ref,head_ref,merged,changed_files,additions,deletions,files_downloaded,reviews_downloaded,review_comments_downloaded,issue_comments_downloaded,body_excerpt
3050,closed,restore devtunnel test,https://github.com/coder/coder/pull/3050,2022-07-19T22:40:18Z,2022-07-22T15:26:41Z,2022-07-22T15:26:40Z,2022-07-22T15:26:40Z,spikecurtis,,False,True,2335,main,spike/2335_devtunnel_test,True,2,189,31,2,1,0,3,"Restores devtunnel test with a fake, local server. Fixes #2335 Originally opened with flaky segfault behavior, but now fixed. See comments for diagnosis and eventual fix."
3086,closed,"fix: Deadlock and race in `peer`, test improvements",https://github.com/coder/coder/pull/3086,2022-07-21T13:05:09Z,2022-07-21T15:47:18Z,2022-07-21T15:47:17Z,2022-07-21T15:47:17Z,mafredri,,False,True,,main,mafredri/peer-fixes,True,3,85,40,3,8,7,0,This PR fixes a few edge cases that I noticed whilst combing over the `peer` package. Some of the tests were also updated in an attempt to increase robustness and improve cleanup (e.g. closing channels and connections). - fix: Potential deadlock in peer.Channel dc.OnOpen - fix: Potential send on closed channel - fix: Improve robustness of waitOpened during close - chore: Simplify statements - fix: Improve teardown and timeout of peer tests - fix: Improve robustness of TestConn/Buffering test Aft
3207,closed,fix: remove flaking test,https://github.com/coder/coder/pull/3207,2022-07-26T14:20:41Z,2022-07-26T14:39:12Z,2022-07-26T14:35:13Z,2022-07-26T14:35:13Z,Kira-Pilot,,True,False,,main,remove-flaking-user-test/kira-pilot,True,1,0,28,1,1,0,3,"This test is flaking and is holding up PRs. It also errors locally on `main` when run locally. I don't know why it's flaky in CI and sometimes passes. Either way, I spend some time looking into it and think we should just take it out for now. ![Screen Shot 2022-07-26 at 10 17 54 AM](https://user-images.githubusercontent.com/19142439/181030264-00e81148-1663-4587-b98c-a3f9e4b6c024.png) Log description: ```` ● Users Page › suspend user › when it is success › shows a success message and refresh the "
3765,closed,fix: Scope error to test functions to fix TestFeaturesService race,https://github.com/coder/coder/pull/3765,2022-08-30T23:08:03Z,2022-08-31T00:17:58Z,2022-08-31T00:17:57Z,2022-08-31T00:17:57Z,kylecarbs,,False,True,3747,main,entitlerace,True,1,2,2,1,1,0,0,Fixes #3747.
3924,closed,fix: Resolve CI flakes for tailnet agent,https://github.com/coder/coder/pull/3924,2022-09-07T14:07:36Z,2022-09-07T14:24:59Z,2022-09-07T14:24:58Z,2022-09-07T14:24:58Z,kylecarbs,,True,False,,main,agentci,True,3,4,4,3,1,0,0,
4069,closed,fix: Resolve flake in TestPortForward,https://github.com/coder/coder/pull/4069,2022-09-14T23:27:27Z,2022-09-15T01:21:54Z,2022-09-15T01:21:53Z,2022-09-15T01:21:53Z,kylecarbs,,True,False,,main,ciflake,True,4,49,82,4,1,0,0,<!-- Check if your change requires documentation edits before merging: https://coder.com/docs/coder. Make edits in `docs/`. -->
4081,closed,chore: Skip TestPortForward due to flakes,https://github.com/coder/coder/pull/4081,2022-09-15T20:54:24Z,2022-09-19T16:29:49Z,2022-09-15T21:05:43Z,2022-09-15T21:05:43Z,kylecarbs,,True,False,,main,rmport,True,1,2,0,1,1,0,0,We'll have to fix this in a future PR... it's unfortunate but these are *really* flakey. <!-- Check if your change requires documentation edits before merging: https://coder.com/docs/coder. Make edits in `docs/`. -->
4333,closed,fix: Test flake in `TestWorkspaceStatus`,https://github.com/coder/coder/pull/4333,2022-10-03T15:58:55Z,2022-10-03T16:43:12Z,2022-10-03T16:43:12Z,2022-10-03T16:43:12Z,kylecarbs,,True,False,,main,fixflake,True,13,148,143,13,2,0,1,"This also changes the status to be on the workspace build, since that's where the true value is calculated. This exposed a bug where jobs could never enter the canceled state unless fetched by a provisioner daemon, which was nice to fix! See: https://github.com/coder/coder/actions/runs/3175304200/jobs/5173479506"
4842,closed,fix: Flake on `TestReplica/TwentyConcurrent`,https://github.com/coder/coder/pull/4842,2022-11-01T19:27:45Z,2022-11-01T20:28:52Z,2022-11-01T20:28:34Z,2022-11-01T20:28:34Z,kylecarbs,,True,True,4607,main,nodeflake,True,1,12,0,1,1,0,0,This could actually cause connections to intermittently fail too when a CPU is absolutely pegged. It just so happens that only our runners have been that slow! Fixes #4607.
4987,closed,fix: skip windows udp dial flake,https://github.com/coder/coder/pull/4987,2022-11-09T20:22:55Z,2023-05-10T00:10:07Z,2022-11-09T20:23:53Z,,f0ssel,,True,False,,main,f0ssel/skip-udp,False,2,15,0,2,0,0,2,This is happening a lot on main
